ID;Name;Number;Set;Series;Rarity;HP;Type;Artist;Release Date;Average Price;Count;Finish Type;Reverse Holo;Language
SV2a_jp_173;Pikachu;173/210;Pokémon Card 151;Scarlet & Violet;Illustration Rare;60;Pokémon;Hiroyuki Yamamoto;2023-06-16T00:00:00Z;42,18;1;HOLOFOIL;No;EN
MEW_int_173;Pikachu;173/207;Pokémon 151;Scarlet & Violet;Illustration Rare;60;Pokémon;Hiroyuki Yamamoto;2023-09-22T00:00:00Z;96,18;1;HOLOFOIL;No;JA
SVP_int_27;Pikachu;27/217;Scarlet & Violet Promos;Scarlet & Violet;Unknown;60;Pokémon;Atsushi Furusawa;2023-01-01T00:00:00Z;27,25;1;HOLOFOIL;No;EN
SMP_int_109;Ash's Pikachu;SM109/248;Sun & Moon Promos;Sun & Moon;Unknown;70;Pokémon;2017 Pikachu Project;2017-02-03T00:00:00Z;92,02;1;NORMAL;No;EN
SMP_int_112;Ash's Pikachu;SM112/248;Sun & Moon Promos;Sun & Moon;Unknown;70;Pokémon;2017 Pikachu Project;2017-02-03T00:00:00Z;44,26;1;NORMAL;No;EN
SMP_int_110;Ash's Pikachu;SM110/248;Sun & Moon Promos;Sun & Moon;Unknown;70;Pokémon;2017 Pikachu Project;2017-02-03T00:00:00Z;44,59;1;NORMAL;No;EN
SMP_int_114;Ash's Pikachu;SM114/248;Sun & Moon Promos;Sun & Moon;Unknown;70;Pokémon;2017 Pikachu Project;2017-02-03T00:00:00Z;58,88;1;NORMAL;No;EN
SMP_int_113;Ash's Pikachu;SM113/248;Sun & Moon Promos;Sun & Moon;Unknown;70;Pokémon;2017 Pikachu Project;2017-02-03T00:00:00Z;42,41;1;NORMAL;No;EN
SMP_int_111;Ash's Pikachu;SM111/248;Sun & Moon Promos;Sun & Moon;Unknown;70;Pokémon;2017 Pikachu Project;2017-02-03T00:00:00Z;43,38;1;NORMAL;No;EN
LOR_int_TG29;Pikachu VMAX;TG29/247;Lost Origin;Sword & Shield;Secret Rare;310;Pokémon;aky CG Works;2022-09-09T00:00:00Z;23,15;1;HOLOFOIL;No;EN
WP_int_4;Pikachu;4/53;WotC Promos;WotC Era;Unknown;50;Pokémon;Ken Sugimori;1999-07-01T00:00:00Z;29,12;1;NORMAL;No;EN
SP_int_61;Pikachu V;SWSH061/292;Sword & Shield Promos;Sword & Shield;Unknown;190;Pokémon;PLANETA Tsuji;2019-11-15T00:00:00Z;2,33;1;HOLOFOIL;No;EN
P4_int_13;Pikachu;13/17;POP Series 4;EX;Common;50;Pokémon;Kouki Saitou;2006-08-01T00:00:00Z;33,95;1;NORMAL;No;EN
G1_int_81;Lt. Surge's Pikachu;81/132;Gym Heroes;WotC Era;Common;50;Pokémon;Ken Sugimori;2000-08-14T00:00:00Z;24,92;1;FIRST_EDITION;No;EN
ROS_int_20;Pikachu;20/110;Roaring Skies;XY;Common;60;Pokémon;Naoki Saito;2015-05-06T00:00:00Z;1,45;1;NORMAL;No;EN
XY_int_42;Pikachu;42/146;XY;XY;Common;60;Pokémon;MAHOU;2014-02-05T00:00:00Z;3,06;1;NORMAL;No;EN
PAL_int_62;Pikachu;62/279;Paldea Evolved;Scarlet & Violet;Common;70;Pokémon;OKACHEKE;2023-06-09T00:00:00Z;0,24;1;NORMAL;No;EN
SIT_int_49;Pikachu;49/245;Silver Tempest;Sword & Shield;Common;70;Pokémon;Souichirou Gunjima;2022-11-11T00:00:00Z;0,33;1;NORMAL;No;EN
SV_int_145;Garchomp C LV.X;145/153;Supreme Victors;Diamond & Pearl / Platinum;Ultra Rare;110;Pokémon;Shizurow;2009-08-19T00:00:00Z;75,65;1;HOLOFOIL;No;EN
MEG_int_147;Garganacl;147/188;Mega Evolution;Mega;Illustration Rare;180;Pokémon;Yano Keiji;2025-09-26T00:00:00Z;1,58;1;HOLOFOIL;No;EN
M2a_jp_207;Medicham;207/250;Mega Dream ex;Mega;Illustration Rare;120;Pokémon;KEIICHIRO ITO;2025-11-28T00:00:00Z;1,53;1;HOLOFOIL;No;EN
M5_jp_89;フォクスライ;89/81;Abyss Eye;Mega;Illustration Rare;100;Pokémon;Jerky;2026-05-22T00:00:00Z;2,29;1;HOLOFOIL;No;JA
M5_jp_88;ダダリン;88/81;Abyss Eye;Mega;Illustration Rare;140;Pokémon;Nakamura Ippan;2026-05-22T00:00:00Z;3,48;1;HOLOFOIL;No;JA
SV4K_jp_76;モルペコ;76/94;Ancient Roar;Scarlet & Violet;Illustration Rare;70;Pokémon;Yuu Nishida;2023-10-27T00:00:00Z;12,11;1;HOLOFOIL;No;JA
M5_jp_92;ドデカバシ;92/81;Abyss Eye;Mega;Illustration Rare;150;Pokémon;miki kudo;2026-05-22T00:00:00Z;2,85;1;HOLOFOIL;No;JA
SV9_jp_108;Nのゾロア;108/132;Battle Partners;Scarlet & Violet;Illustration Rare;70;Pokémon;Megumi Mizutani;2025-01-24T00:00:00Z;5,33;1;HOLOFOIL;No;JA
WHT_int_165;Whimsicott ex;165/173;White Flare;Scarlet & Violet;Special Illustration Rare;230;Pokémon;mele;2025-07-18T00:00:00Z;28,66;1;HOLOFOIL;No;JA
WHT_int_165;Whimsicott ex;165/173;White Flare;Scarlet & Violet;Special Illustration Rare;230;Pokémon;mele;2025-07-18T00:00:00Z;28,66;1;HOLOFOIL;No;EN
MEP_int_80;Fennekin;80/51;Mega Promos;Mega;Unknown;70;Pokémon;satoma;2025-09-26T00:00:00Z;4,38;1;HOLOFOIL;No;EN
